cell_id,target_track,hotspot_score,bucket_count,observed_positive_buckets,top_features,cause_summary,feature_1,feature_1_display_name,feature_1_mean_shap,feature_1_mean_abs_shap,feature_2,feature_2_display_name,feature_2_mean_shap,feature_2_mean_abs_shap,feature_3,feature_3_display_name,feature_3_mean_shap,feature_3_mean_abs_shap
2381_18038,severe,0.8097198478756537,119,45,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.16557162304309925,0.16557162304309925,prior_avg_severity,historical crash severity,0.15814453525328898,0.15814453525328898,prior_cell_severe_count,prior severe crash history,0.1393328383810799,0.1393328383810799
2356_18089,severe,0.7959569838854559,141,101,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.1608572440041308,0.1608572440041308,prior_avg_severity,historical crash severity,0.16084505288605613,0.16084505288605613,prior_cell_severe_count,prior severe crash history,0.13373051656029603,0.13373051656029603
2424_18048,severe,0.7671442215551548,77,24,"historic_cell_crash_total, prior_cell_severe_count, prior_avg_severity","High predicted risk is mainly driven by long-run cell crash volume, prior severe crash history, and historical crash severity.",historic_cell_crash_total,long-run cell crash volume,0.15946416983221962,0.15946416983221962,prior_cell_severe_count,prior severe crash history,0.13900139462335778,0.13900139462335778,prior_avg_severity,historical crash severity,0.13765546743402948,0.13765546743402948
2391_18042,severe,0.7664317045941341,115,43,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.16501340512899215,0.16501340512899215,prior_avg_severity,historical crash severity,0.14985910242834002,0.14985910242834002,prior_cell_severe_count,prior severe crash history,0.13101649752361633,0.13101649752361633
2377_18085,severe,0.7531550823130598,105,21,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.14985019578862038,0.14985019578862038,historic_cell_crash_total,long-run cell crash volume,0.14717684333954034,0.14717684333954034,prior_cell_severe_count,prior severe crash history,0.1311816949386706,0.1311816949386706
2366_18088,severe,0.7465018299557102,109,31,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.15166195308616653,0.15166195308616653,historic_cell_crash_total,long-run cell crash volume,0.14575614128795678,0.14575614128795678,prior_cell_severe_count,prior severe crash history,0.13049295120222823,0.13049295120222823
2339_18009,severe,0.713639280060723,95,29,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.15260133282982935,0.15260133282982935,prior_avg_severity,historical crash severity,0.14067919623795547,0.14067919623795547,prior_cell_severe_count,prior severe crash history,0.12985488347744348,0.12985488347744348
2336_18014,severe,0.7122070622628225,80,17,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.15502384672390654,0.15502384672390654,historic_cell_crash_total,long-run cell crash volume,0.14750189390044982,0.14750189390044982,prior_cell_severe_count,prior severe crash history,0.12695026064785114,0.12695026064785114
2362_18088,severe,0.6999842045050425,184,65,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.13511436070015684,0.13511436070015684,prior_avg_severity,historical crash severity,0.12679162655560275,0.12679162655560275,prior_cell_severe_count,prior severe crash history,0.11461234276723188,0.11461234276723188
2340_18024,severe,0.6832808445176817,91,21,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.13986729504209675,0.13986729504209675,prior_avg_severity,historical crash severity,0.13863318320162565,0.13863318320162565,prior_cell_severe_count,prior severe crash history,0.12341201655168117,0.12341201655168117
2364_18038,severe,0.6827344447762359,73,16,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.142437262240461,0.142437262240461,prior_avg_severity,historical crash severity,0.14242178826512078,0.14242178826512078,prior_cell_severe_count,prior severe crash history,0.12054280296086921,0.12054280296086921
2397_18064,severe,0.6809399211988917,79,14,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.14952192682670407,0.14952192682670407,historic_cell_crash_total,long-run cell crash volume,0.14730102475756338,0.14730102475756338,prior_cell_severe_count,prior severe crash history,0.12298842562612622,0.12298842562612622
2372_18106,severe,0.6795737598335336,52,10,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.15602660328375698,0.15602660328375698,historic_cell_crash_total,long-run cell crash volume,0.1375590150757537,0.1375590150757537,prior_cell_severe_count,prior severe crash history,0.12320274674052212,0.12320274674052212
2352_18028,severe,0.6679563109881596,72,8,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.14481967232741794,0.14481967232741794,prior_avg_severity,historical crash severity,0.14180772100499317,0.14180772100499317,prior_cell_severe_count,prior severe crash history,0.12501027238055987,0.12501027238055987
2369_18102,severe,0.6575398588227684,40,7,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.1482616814915937,0.1482616814915937,historic_cell_crash_total,long-run cell crash volume,0.13829885661898283,0.13829885661898283,prior_cell_severe_count,prior severe crash history,0.12169436977364452,0.12169436977364452
2365_18070,severe,0.6550396859858884,46,9,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.14784135973566817,0.14784135973566817,historic_cell_crash_total,long-run cell crash volume,0.13653249092774103,0.13653249092774103,prior_cell_severe_count,prior severe crash history,0.12180631312279949,0.12180631312279949
2403_18017,severe,0.6499466452787702,73,22,"prior_avg_severity, prior_cell_severe_count, historic_cell_crash_total","High predicted risk is mainly driven by historical crash severity, prior severe crash history, and long-run cell crash volume.",prior_avg_severity,historical crash severity,0.1360177000839045,0.1360177000839045,prior_cell_severe_count,prior severe crash history,0.1252117091460903,0.1252117091460903,historic_cell_crash_total,long-run cell crash volume,0.12225192742381763,0.12225192742381763
2401_18021,severe,0.6376847372037279,65,17,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.13875150620053123,0.13875150620053123,historic_cell_crash_total,long-run cell crash volume,0.13508303690746296,0.13508303690746296,prior_cell_severe_count,prior severe crash history,0.11562118018792768,0.11562118018792768
2414_18044,severe,0.637367197322551,94,18,"historic_cell_crash_total, prior_cell_severe_count, prior_avg_severity","High predicted risk is mainly driven by long-run cell crash volume, prior severe crash history, and historical crash severity.",historic_cell_crash_total,long-run cell crash volume,0.12981146736751842,0.12981146736751842,prior_cell_severe_count,prior severe crash history,0.11752851647366219,0.11752851647366219,prior_avg_severity,historical crash severity,0.1167952632046251,0.1167952632046251
2356_18032,severe,0.633720618088654,87,18,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.14174376324113538,0.14174376324113538,historic_cell_crash_total,long-run cell crash volume,0.12523928553062974,0.12523928553062974,prior_cell_severe_count,prior severe crash history,0.11993881640928135,0.11993881640928135
2382_18083,severe,0.6285980747294003,70,25,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.1472857660774696,0.1472857660774696,prior_avg_severity,historical crash severity,0.12704431165934693,0.12704431165934693,prior_cell_severe_count,prior severe crash history,0.11301348571732973,0.11301348571732973
2372_18088,severe,0.6202223910413024,56,11,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.14344352531494442,0.14344352531494442,prior_avg_severity,historical crash severity,0.1367968964833812,0.1367968964833812,prior_cell_severe_count,prior severe crash history,0.11086514069562958,0.11086514069562958
2360_18073,severe,0.6197102596496619,91,13,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.1331417180692967,0.1331417180692967,historic_cell_crash_total,long-run cell crash volume,0.1303451103377691,0.1303451103377691,prior_cell_severe_count,prior severe crash history,0.11516561535948447,0.11516561535948447
2371_18042,severe,0.6087642622005367,98,18,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.129165395840454,0.129165395840454,prior_avg_severity,historical crash severity,0.1224273570001934,0.1224273570001934,prior_cell_severe_count,prior severe crash history,0.11674214985268727,0.11674214985268727
2374_18108,severe,0.5998180145453635,67,6,"prior_avg_severity, prior_cell_severe_count, historic_cell_crash_total","High predicted risk is mainly driven by historical crash severity, prior severe crash history, and long-run cell crash volume.",prior_avg_severity,historical crash severity,0.13817793048179153,0.13817793048179153,prior_cell_severe_count,prior severe crash history,0.11993329392464581,0.11993329392464581,historic_cell_crash_total,long-run cell crash volume,0.10440705797392764,0.10440705797392764
2335_18003,severe,0.5996309759157818,100,24,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.13008367860408504,0.13008367860408504,prior_avg_severity,historical crash severity,0.127692070458757,0.127692070458757,prior_cell_severe_count,prior severe crash history,0.11290115277624785,0.11290115277624785
2400_18024,severe,0.5983620738974835,74,19,"historic_cell_crash_total, prior_cell_severe_count, prior_avg_severity","High predicted risk is mainly driven by long-run cell crash volume, prior severe crash history, and historical crash severity.",historic_cell_crash_total,long-run cell crash volume,0.12376207260893943,0.12376207260893943,prior_cell_severe_count,prior severe crash history,0.10861483918415783,0.10861483918415783,prior_avg_severity,historical crash severity,0.08644238986688473,0.08644238986688473
2366_18095,severe,0.5909718969857172,61,13,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.13352812413362017,0.13352812413362017,historic_cell_crash_total,long-run cell crash volume,0.1264071060159078,0.1264071060159078,prior_cell_severe_count,prior severe crash history,0.10668400169036718,0.10668400169036718
2380_18038,severe,0.5732039040750532,64,2,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.13439609730960025,0.13439609730960025,prior_avg_severity,historical crash severity,0.1209080932709625,0.1209080932709625,prior_cell_severe_count,prior severe crash history,0.10632378754484409,0.10632378754484409
2417_18045,severe,0.5704507854216746,68,13,"prior_avg_severity, prior_cell_severe_count, historic_cell_crash_total","High predicted risk is mainly driven by historical crash severity, prior severe crash history, and long-run cell crash volume.",prior_avg_severity,historical crash severity,0.11869169475131637,0.11869169475131637,prior_cell_severe_count,prior severe crash history,0.11496118060363993,0.11496118060363993,historic_cell_crash_total,long-run cell crash volume,0.1135596335851501,0.1135596335851501
2364_18093,severe,0.5549541287019645,60,10,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.13581782191076985,0.13581782191076985,historic_cell_crash_total,long-run cell crash volume,0.12568699216534382,0.12568699216534382,prior_cell_severe_count,prior severe crash history,0.10600006420105552,0.10600006420105552
2374_18077,severe,0.5518274182906862,83,19,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.12433880081599452,0.12433880081599452,historic_cell_crash_total,long-run cell crash volume,0.12413405997566361,0.12413405997566361,prior_cell_severe_count,prior severe crash history,0.10509042759571442,0.10509042759571442
2382_18038,severe,0.5462509656438248,70,7,"historic_cell_crash_total, prior_cell_severe_count, prior_avg_severity","High predicted risk is mainly driven by long-run cell crash volume, prior severe crash history, and historical crash severity.",historic_cell_crash_total,long-run cell crash volume,0.12328541569658828,0.12328541569658828,prior_cell_severe_count,prior severe crash history,0.10213417478686056,0.10213417478686056,prior_avg_severity,historical crash severity,0.09781140980823255,0.09781140980823255
2293_17982,severe,0.545613593217154,57,12,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.12283617581540615,0.12283617581540615,prior_avg_severity,historical crash severity,0.11882837561829801,0.11882837561829801,prior_cell_severe_count,prior severe crash history,0.10092258190507343,0.10092258190507343
2361_18036,severe,0.5431539698433449,74,5,"historic_cell_crash_total, prior_cell_severe_count, prior_avg_severity","High predicted risk is mainly driven by long-run cell crash volume, prior severe crash history, and historical crash severity.",historic_cell_crash_total,long-run cell crash volume,0.11478089778421628,0.11478089778421628,prior_cell_severe_count,prior severe crash history,0.10405606403916697,0.10405606403916697,prior_avg_severity,historical crash severity,0.10346009045439807,0.10346009045439807
2408_18042,severe,0.535447930890573,75,12,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.12311661998695338,0.12311661998695338,prior_avg_severity,historical crash severity,0.10830789804076849,0.10830789804076849,prior_cell_severe_count,prior severe crash history,0.10207501449332806,0.10207501449332806
2387_18040,severe,0.531461597637425,77,7,"historic_cell_crash_total, prior_cell_severe_count, prior_avg_severity","High predicted risk is mainly driven by long-run cell crash volume, prior severe crash history, and historical crash severity.",historic_cell_crash_total,long-run cell crash volume,0.10397502053636579,0.10397502053636579,prior_cell_severe_count,prior severe crash history,0.10295442530190198,0.10295442530190198,prior_avg_severity,historical crash severity,0.0954108314097425,0.0954108314097425
2372_18045,severe,0.5280512728063343,57,8,"prior_avg_severity, prior_cell_severe_count, historic_cell_crash_total","High predicted risk is mainly driven by historical crash severity, prior severe crash history, and long-run cell crash volume.",prior_avg_severity,historical crash severity,0.11962691543607529,0.11962691543607529,prior_cell_severe_count,prior severe crash history,0.11124743946017407,0.11124743946017407,historic_cell_crash_total,long-run cell crash volume,0.09536432699317357,0.09536432699317357
2351_18025,severe,0.5252267004153542,81,10,"prior_cell_severe_count, prior_avg_severity, historic_cell_crash_total","High predicted risk is mainly driven by prior severe crash history, historical crash severity, and long-run cell crash volume.",prior_cell_severe_count,prior severe crash history,0.10610653610956353,0.10610653610956353,prior_avg_severity,historical crash severity,0.1038770819941731,0.1038770819941731,historic_cell_crash_total,long-run cell crash volume,0.09892360893136921,0.09892360893136921
2390_18008,severe,0.5219070103876019,60,0,"historic_cell_crash_total, prior_cell_severe_count, prior_avg_severity","High predicted risk is mainly driven by long-run cell crash volume, prior severe crash history, and historical crash severity.",historic_cell_crash_total,long-run cell crash volume,0.12082537758369712,0.12082537758369712,prior_cell_severe_count,prior severe crash history,0.1022985848872132,0.1022985848872132,prior_avg_severity,historical crash severity,0.0918862668920366,0.0918862668920366
2390_18042,severe,0.5216911402225946,77,5,"historic_cell_crash_total, prior_cell_severe_count, prior_avg_severity","High predicted risk is mainly driven by long-run cell crash volume, prior severe crash history, and historical crash severity.",historic_cell_crash_total,long-run cell crash volume,0.11440458739928551,0.11440458739928551,prior_cell_severe_count,prior severe crash history,0.09900819880158573,0.09900819880158573,prior_avg_severity,historical crash severity,0.07323459407283547,0.07323459407283547
2338_18020,severe,0.5194530479935799,83,30,"historic_cell_crash_total, prior_avg_severity, prior_cell_severe_count","High predicted risk is mainly driven by long-run cell crash volume, historical crash severity, and prior severe crash history.",historic_cell_crash_total,long-run cell crash volume,0.12683782772759813,0.12683782772759813,prior_avg_severity,historical crash severity,0.12063181067331664,0.12063181067331664,prior_cell_severe_count,prior severe crash history,0.09461189936423695,0.09461189936423695
2395_18093,severe,0.5183844483436739,53,6,"prior_avg_severity, historic_cell_crash_total, prior_cell_severe_count","High predicted risk is mainly driven by historical crash severity, long-run cell crash volume, and prior severe crash history.",prior_avg_severity,historical crash severity,0.1136190631694096,0.1136190631694096,historic_cell_crash_total,long-run cell crash volume,0.10966215545165273,0.10966215545165273,prior_cell_severe_count,prior severe crash history,0.09965773617785735,0.09965773617785735
2369_18072,severe,0.5181132190610477,60,19,"prior_avg_severity, prior_cell_severe_count, historic_cell_crash_total","High predicted risk is mainly driven by historical crash severity, prior severe crash history, and long-run cell crash volume.",prior_avg_severity,historical crash severity,0.1328241164920854,0.1328241164920854,prior_cell_severe_count,prior severe crash history,0.10549507445082669,0.10549507445082669,historic_cell_crash_total,long-run cell crash volume,0.09295501345523254,0.09295501345523254
2399_18027,severe,0.5053350243403376,60,6,"historic_cell_crash_total, prior_cell_severe_count, prior_avg_severity","High predicted risk is mainly driven by long-run cell crash volume, prior severe crash history, and historical crash severity.",historic_cell_crash_total,long-run cell crash volume,0.11625775609210134,0.11625775609210134,prior_cell_severe_count,prior severe crash history,0.09198577719429496,0.09198577719429496,prior_avg_severity,historical crash severity,0.07401004973046216,0.07401004973046216
2391_18081,severe,0.5048243548674283,71,10,"prior_cell_severe_count, historic_cell_crash_total, prior_avg_severity","High predicted risk is mainly driven by prior severe crash history, long-run cell crash volume, and historical crash severity.",prior_cell_severe_count,prior severe crash history,0.10480778324844649,0.10480778324844649,historic_cell_crash_total,long-run cell crash volume,0.10054688315476225,0.10054688315476225,prior_avg_severity,historical crash severity,0.1000789605154058,0.1000789605154058
2399_18042,severe,0.5005659909402868,59,10,"prior_avg_severity, prior_cell_severe_count, historic_cell_crash_total","High predicted risk is mainly driven by historical crash severity, prior severe crash history, and long-run cell crash volume.",prior_avg_severity,historical crash severity,0.11276238337671055,0.11276238337671055,prior_cell_severe_count,prior severe crash history,0.10895557682539843,0.10895557682539843,historic_cell_crash_total,long-run cell crash volume,0.08956306464433997,0.08956306464433997
